seed,method,precision@10,rouge_n,success@1,success@10,rbo,unique_ratio
0,CBR,1.0,0.0039,0.0,0.1,0.0231,0.0315
0,JITIR,0.8286,0.0032,0.0,0.1214,0.0307,0.0282
0,CIA,0.5809,0.0039,0.0214,0.1,0.0559,0.0383
0,random,0.1525,0.0006,0.0357,0.3214,0.1097,0.0187
1,CBR,1.0,0.0047,0.0071,0.1,0.0242,0.0326
1,JITIR,0.8297,0.0039,0.0071,0.1286,0.0302,0.0295
1,CIA,0.5859,0.0046,0.0214,0.0929,0.0521,0.0388
1,random,0.1537,0.0006,0.0,0.2643,0.1046,0.0187
2,CBR,1.0,0.0044,0.0071,0.1286,0.0299,0.0312
2,JITIR,0.8438,0.0037,0.0071,0.1357,0.0353,0.0284
2,CIA,0.5846,0.0044,0.0214,0.1286,0.0715,0.038
2,random,0.1569,0.0006,0.0571,0.3143,0.1115,0.0187
3,CBR,1.0,0.0047,0.0,0.0857,0.0216,0.0316
3,JITIR,0.8426,0.0039,0.0,0.1,0.0305,0.0288
3,CIA,0.5837,0.0045,0.0214,0.1071,0.0724,0.0368
3,random,0.1394,0.0007,0.0214,0.3357,0.0977,0.0187
4,CBR,1.0,0.0046,0.0214,0.15,0.0348,0.0318
4,JITIR,0.8355,0.0038,0.0214,0.1714,0.0437,0.0287
4,CIA,0.6103,0.0046,0.0214,0.1214,0.0666,0.0385
4,random,0.1575,0.0009,0.0357,0.3714,0.091,0.0187
5,CBR,1.0,0.0047,0.0071,0.0857,0.0198,0.0324
5,JITIR,0.835,0.004,0.0071,0.1286,0.0408,0.0295
5,CIA,0.5949,0.0047,0.0286,0.1071,0.0581,0.0391
5,random,0.1494,0.0006,0.0214,0.3357,0.0876,0.0187
6,CBR,1.0,0.0045,0.0214,0.0929,0.0223,0.032
6,JITIR,0.8404,0.0038,0.0214,0.1071,0.0332,0.0291
6,CIA,0.5876,0.0045,0.0286,0.1,0.0671,0.0384
6,random,0.1356,0.0006,0.0286,0.2643,0.1137,0.0187
7,CBR,1.0,0.0043,0.0,0.0929,0.0218,0.0317
7,JITIR,0.8326,0.0036,0.0,0.1214,0.0375,0.0286
7,CIA,0.6079,0.0044,0.0214,0.1143,0.0681,0.0389
7,random,0.1506,0.0008,0.0429,0.3357,0.0983,0.0187
8,CBR,1.0,0.0048,0.0357,0.1286,0.0294,0.0316
8,JITIR,0.8469,0.004,0.0357,0.1571,0.0364,0.0288
8,CIA,0.5876,0.0046,0.0429,0.1714,0.0811,0.0366
8,random,0.1556,0.0007,0.0429,0.2786,0.1019,0.0187
9,CBR,1.0,0.0042,0.0214,0.1429,0.0342,0.0316
9,JITIR,0.8319,0.0034,0.0214,0.1643,0.0404,0.0283
9,CIA,0.5795,0.0041,0.0286,0.1,0.0645,0.038
9,random,0.1469,0.0008,0.05,0.3643,0.1107,0.0187
